MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary
111309	None	2017-12-14T02:35:08.7507375		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59892, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3729494880 - 3729494881, Ack: 1482001429, Win: 16442368(scale factor: 8)	
111310	None	2017-12-14T02:35:08.7526659		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59892, Length: 0, Seq Range: 1482001429 - 1482001430, Ack: 3729494881, Win: 260	
111311	None	2017-12-14T02:35:08.7528416		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59892, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3729494881 - 3729494881, Ack: 1482001430, Win: 64228	
111366	None	2017-12-14T02:35:08.7790206		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59893, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 98585498 - 98585499, Ack: 0, Win: 8192(negotiating scale factor: 8)	
111376	None	2017-12-14T02:35:08.7802184		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59893, Length: 0, Seq Range: 1247382536 - 1247382537, Ack: 98585499, Win: 512	
111387	None	2017-12-14T02:35:08.7802977		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59893, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 98585499 - 98585499, Ack: 1247382537, Win: 16445440(scale factor: 8)	
111388	None	2017-12-14T02:35:08.7803490	0,0008738	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59893, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 98585499 - 98585514	
112527	None	2017-12-14T02:35:09.0882704		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59893, Len: 12, Seq Range: 1247382537 - 1247382549	
112529	None	2017-12-14T02:35:09.0884649		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59893, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 98585514 - 98585515, Ack: 1247382549, Win: 16442368(scale factor: 8)	
112533	None	2017-12-14T02:35:09.0912450		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59893, Length: 0, Seq Range: 1247382549 - 1247382550, Ack: 98585515, Win: 260	
112534	None	2017-12-14T02:35:09.0913560		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59893, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 98585515 - 98585515, Ack: 1247382550, Win: 64228	
112866	None	2017-12-14T02:35:09.1931689		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59894, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2521633691 - 2521633692, Ack: 0, Win: 8192(negotiating scale factor: 8)	
112867	None	2017-12-14T02:35:09.1948282		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59894, Length: 0, Seq Range: 2505935880 - 2505935881, Ack: 2521633692, Win: 512	
112868	None	2017-12-14T02:35:09.1949366		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59894, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2521633692 - 2521633692, Ack: 2505935881, Win: 16445440(scale factor: 8)	
112869	None	2017-12-14T02:35:09.1949900	0,0028508	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59894, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 2521633692 - 2521633707	
